Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.13,0.05536411,0.161,0.05259454,0.161,0.0695039,0.13,3.40987,0.323,0,0.323,0.08800017,,,,,0.323,6.886609,0.13,0.1173662,0.652,23.80783,
0.133,0.05675512,0.165,0.04573449,0.165,0.05920954,0.133,3.409838,0.329,0,0.329,0.08800017,,,,,0.329,6.886603,0.133,0.1176773,0.665,23.80685,
0.135,0.05675075,0.168,0.0646193,0.168,0.05938132,0.135,3.410161,0.336,0,0.336,0.08800017,,,,,0.335,6.886695,0.135,0.1183055,0.678,23.80652,
0.138,0.05543464,0.171,0.08189176,0.171,0.0649431,0.138,3.410264,0.342,0,0.342,0.08800017,,,,,0.342,6.886762,0.138,0.1190146,0.691,23.80504,
0.14,0.05407215,0.174,0.07943881,0.174,0.06046962,0.14,3.410242,0.349,0,0.349,0.08800017,,,,,0.348,6.886787,0.14,0.1196745,0.704,23.80297,
0.143,0.05705564,0.177,0.07284952,0.177,0.06571287,0.143,3.410395,0.355,0,0.355,0.08800017,,,,,0.355,6.886801,0.143,0.1201873,0.717,23.8017,
0.145,0.06278312,0.181,0.07217343,0.181,0.05176315,0.145,3.410391,0.362,0,0.362,0.08800017,,,,,0.361,6.88687,0.145,0.1201503,0.729,23.80165,
0.148,0.06466258,0.184,0.07124592,0.184,0.06793719,0.148,3.410517,0.368,0,0.368,0.08800017,,,,,0.368,6.886851,0.148,0.1209841,0.742,23.80233,
0.151,0.07314846,0.187,0.05797841,0.187,0.06154365,0.151,3.410632,0.374,0,0.374,0.08800017,,,,,0.374,6.886938,0.151,0.1211897,0.755,23.80397,
0.153,0.07123818,0.19,0.07579252,0.19,0.06350288,0.153,3.410693,0.381,0,0.381,0.08800017,,,,,0.38,6.88694,0.153,0.1216062,0.768,23.80594,
0.156,0.06558296,0.194,0.06773169,0.194,0.0706239,0.156,3.41091,0.387,0,0.387,0.08800017,,,,,0.387,6.886961,0.156,0.1219246,0.781,23.80797,
0.158,0.06796238,0.197,0.0753938,0.197,0.07307275,0.158,3.410745,0.394,0,0.394,0.08800017,,,,,0.393,6.886992,0.158,0.1222476,0.794,23.80993,
0.161,0.06751423,0.2,0.06857859,0.2,0.08307735,0.161,3.410876,0.4,0,0.4,0.08800017,,,,,0.4,6.887032,0.161,0.1229408,0.807,23.81167,
0.163,0.07560519,0.203,0.06771908,0.203,0.07482938,0.163,3.410759,0.407,0,0.407,0.08800017,,,,,0.406,6.887071,0.163,0.1230149,0.819,23.81336,
0.166,0.07101826,0.206,0.06823549,0.206,0.0683862,0.166,3.410898,0.413,0,0.413,0.08800017,,,,,0.413,6.88712,0.166,0.1232707,0.832,23.81473,
0.169,0.07442628,0.21,0.0746935,0.21,0.06613336,0.169,3.410914,0.419,0,0.419,0.08800017,,,,,0.419,6.887107,0.169,0.1236901,0.845,23.81581,
0.171,0.07231493,0.213,0.0687492,0.213,0.07278691,0.171,3.410943,0.426,0,0.426,0.08800017,,,,,0.425,6.887136,0.171,0.1238239,0.858,23.81582,
0.174,0.07103942,0.216,0.06490956,0.216,0.07102446,0.174,3.411093,0.432,0,0.432,0.08800017,,,,,0.432,6.887118,0.174,0.1239457,0.871,23.81587,
0.176,0.07083403,0.219,0.08392575,0.219,0.0810774,0.176,3.411113,0.439,0,0.439,0.08800017,,,,,0.438,6.887122,0.176,0.1245761,0.884,23.81552,
0.179,0.07327597,0.222,0.07938585,0.222,0.07400475,0.179,3.410825,0.445,0,0.445,0.08800017,,,,,0.445,6.887122,0.179,0.1247346,0.897,23.81544,
0.181,0.08138657,0.226,0.08353021,0.226,0.0756133,0.181,3.41094,0.452,0,0.452,0.08800017,,,,,0.451,6.887254,0.181,0.1248363,0.909,23.81557,
0.184,0.08294236,0.229,0.07361872,0.229,0.09099734,0.184,3.411019,0.458,0,0.458,0.08800017,,,,,0.458,6.887269,0.184,0.1251965,0.922,23.81528,
0.187,0.08642054,0.232,0.06878594,0.232,0.06867163,0.187,3.411129,0.464,0,0.464,0.08800017,,,,,0.464,6.887285,0.187,0.1253855,0.935,23.81532,
0.189,0.0836829,0.235,0.06508671,0.235,0.06811824,0.189,3.41133,0.471,0,0.471,0.08800017,,,,,0.47,6.887351,0.189,0.1257091,0.948,23.8156,
0.192,0.08839493,0.239,0.07255304,0.239,0.06944456,0.192,3.411163,0.477,0,0.477,0.08800017,,,,,0.477,6.88735,0.192,0.1261979,0.961,23.81488,
0.194,0.09276553,0.242,0.08863105,0.242,0.06370076,0.194,3.411228,0.484,0,0.484,0.08800017,,,,,0.483,6.88734,0.194,0.1257765,0.974,23.81531,
0.197,0.08217885,0.245,0.08075216,0.245,0.08277845,0.197,3.411088,0.49,0,0.49,0.08800017,,,,,0.49,6.887361,0.197,0.1263808,0.987,23.81543,
0.199,0.07213505,0.248,0.07384803,0.248,0.07905474,0.199,3.411169,0.497,0,0.497,0.08800017,,,,,0.496,6.887371,0.199,0.1266112,0.999,23.81527,
0.202,0.07088501,0.251,0.09148377,0.251,0.06777179,0.202,3.411135,0.503,0,0.503,0.08800017,,,,,0.503,6.887341,0.202,0.1267537,1.012,23.81556,
0.205,0.07904026,0.255,0.08662036,0.255,0.07176308,0.205,3.411077,0.509,0,0.509,0.08800017,,,,,0.509,6.887416,0.205,0.126753,1.025,23.81649,
0.207,0.08367008,0.258,0.08138072,0.258,0.07231934,0.207,3.411195,0.516,0,0.516,0.08800017,,,,,0.515,6.887416,0.207,0.1269612,1.038,23.81795,
0.21,0.0837128,0.261,0.07725289,0.261,0.07871361,0.21,3.411072,0.522,0,0.522,0.08800017,,,,,0.522,6.887464,0.21,0.1272303,1.051,23.82054,
0.212,0.08546817,0.264,0.08154998,0.264,0.07661206,0.212,3.411093,0.529,0,0.529,0.08800017,,,,,0.528,6.887498,0.212,0.1274297,1.064,23.82308,
0.215,0.08889268,0.267,0.07961351,0.267,0.08211778,0.215,3.41104,0.535,0,0.535,0.08800017,,,,,0.535,6.887514,0.215,0.1281894,1.077,23.82511,
0.217,0.1028029,0.271,0.08034307,0.271,0.08219798,0.217,3.410989,0.542,0,0.542,0.08800017,,,,,0.541,6.887557,0.217,0.1282627,1.089,23.82616,
0.22,0.09078444,0.274,0.09148572,0.274,0.08470272,0.22,3.411176,0.548,0,0.548,0.08800017,,,,,0.548,6.887563,0.22,0.128216,1.102,23.82663,
0.223,0.09091782,0.277,0.1009497,0.277,0.06411139,0.223,3.411324,0.554,0,0.554,0.08800017,,,,,0.554,6.887571,0.223,0.1285617,1.115,23.8276,
0.225,0.09382216,0.28,0.0862224,0.28,0.07614569,0.225,3.411288,0.561,0,0.561,0.08800017,,,,,0.56,6.887595,0.225,0.1286729,1.128,23.82856,
0.228,0.1011797,0.284,0.09038167,0.284,0.07209923,0.228,3.411183,0.567,0,0.567,0.08800017,,,,,0.567,6.88765,0.228,0.1285842,1.141,23.82937,
0.23,0.08931877,0.287,0.07599135,0.287,0.08232009,0.23,3.411128,0.574,0,0.574,0.08800017,,,,,0.573,6.887638,0.23,0.1294279,1.154,23.82975,
0.233,0.08156875,0.29,0.08705628,0.29,0.08834311,0.233,3.411129,0.58,0,0.58,0.08800017,,,,,0.58,6.887669,0.233,0.129476,1.167,23.83071,
0.235,0.06965145,0.293,0.08125532,0.293,0.07943571,0.235,3.411208,0.587,0,0.587,0.08800017,,,,,0.586,6.887635,0.235,0.1298651,1.179,23.83177,
0.238,0.08075985,0.296,0.0954869,0.296,0.07897678,0.238,3.411192,0.593,0,0.593,0.08800017,,,,,0.593,6.887678,0.238,0.1305783,1.192,23.8332,
0.241,0.09073962,0.3,0.09319817,0.3,0.07418618,0.241,3.411269,0.599,0,0.599,0.08800017,,,,,0.599,6.887646,0.241,0.130382,1.205,23.83521,
0.243,0.09199672,0.303,0.08457423,0.303,0.07065167,0.243,3.411209,0.606,0,0.606,0.08800017,,,,,0.605,6.887619,0.243,0.1306241,1.218,23.83802,
0.246,0.08572159,0.306,0.08648317,0.306,0.07204279,0.246,3.411161,0.612,0,0.612,0.08800017,,,,,0.612,6.887616,0.246,0.1309251,1.231,23.83956,
0.248,0.08673359,0.309,0.09526578,0.309,0.09854525,0.248,3.411215,0.619,0,0.619,0.08800017,,,,,0.618,6.887621,0.248,0.1312283,1.244,23.84175,
0.251,0.096386,0.312,0.09632006,0.312,0.08182252,0.251,3.411092,0.625,0,0.625,0.08800017,,,,,0.625,6.887482,0.251,0.1311625,1.257,23.84342,
0.253,0.09364367,0.316,0.1159877,0.316,0.08148439,0.253,3.411103,0.632,0,0.632,0.08800017,,,,,0.631,6.887419,0.253,0.1315866,1.269,23.84361,
0.256,0.0909076,0.319,0.1093413,0.319,0.08920311,0.256,3.411035,0.638,0,0.638,0.08800017,,,,,0.638,6.887331,0.256,0.1321481,1.282,23.84391,
0.259,0.09173407,0.322,0.1229993,0.322,0.09925149,0.259,3.410864,0.644,0,0.644,0.08800017,,,,,0.644,6.88711,0.259,0.1321756,1.295,23.84414,
0.261,0.08510097,0.325,0.117821,0.325,0.0954337,0.261,3.410775,0.651,0,0.651,0.08800017,,,,,0.65,6.886897,0.261,0.1320141,1.308,23.84441,
0.264,0.08572425,0.329,0.1297736,0.329,0.1131733,0.264,3.410786,0.657,0,0.657,0.08800017,,,,,0.657,6.886533,0.264,0.1321182,1.321,23.84478,
0.266,0.09235378,0.332,0.173983,0.332,0.1254396,0.266,3.410854,0.664,0,0.664,0.08800017,,,,,0.663,6.886178,0.266,0.1329372,1.334,23.84611,
0.269,0.08659581,0.335,0.1769353,0.335,0.1340224,0.269,3.410778,0.67,0,0.67,0.08800017,,,,,0.67,6.885535,0.269,0.1333553,1.347,23.84729,
0.271,0.096264,0.338,0.2037307,0.338,0.1330194,0.271,3.41066,0.677,0,0.677,0.08800017,,,,,0.676,6.884662,0.271,0.1334034,1.359,23.84871,
0.274,0.09602009,0.341,0.2288675,0.341,0.1642344,0.274,3.410753,0.683,0,0.683,0.08800017,,,,,0.683,6.883437,0.274,0.1334395,1.372,23.85092,
0.277,0.07790775,0.345,0.2538633,0.345,0.1731247,0.277,3.410899,0.689,0,0.689,0.08800017,,,,,0.689,6.882195,0.277,0.1331674,1.385,23.8528,
0.279,0.08078506,0.348,0.3089129,0.348,0.1959122,0.279,3.410877,0.696,0,0.696,0.08800017,,,,,0.695,6.88054,0.279,0.1338099,1.398,23.85508,
0.282,0.09881782,0.351,0.3358259,0.351,0.228892,0.282,3.410862,0.702,0,0.702,0.08800017,,,,,0.702,6.878448,0.282,0.1339095,1.411,23.85686,
0.284,0.08353394,0.354,0.373341,0.354,0.2443531,0.284,3.410921,0.709,0,0.709,0.08800017,,,,,0.708,6.876111,0.284,0.1342649,1.424,23.85646,
0.287,0.08657268,0.357,0.4413604,0.357,0.2656019,0.287,3.410857,0.715,0,0.715,0.08800017,,,,,0.715,6.872982,0.287,0.1344908,1.437,23.85561,
0.289,0.08441272,0.361,0.5084644,0.361,0.3165779,0.289,3.410756,0.722,0,0.722,0.08800017,,,,,0.721,6.86937,0.289,0.1343798,1.449,23.85402,
0.292,0.08878551,0.364,0.5644765,0.364,0.3503815,0.292,3.410842,0.728,0,0.728,0.08800017,,,,,0.728,6.865509,0.292,0.1346506,1.462,23.85271,
0.295,0.0904218,0.367,0.632406,0.367,0.394733,0.295,3.41079,0.734,0,0.734,0.08800017,,,,,0.734,6.861106,0.295,0.1347998,1.475,23.85253,
0.297,0.1053044,0.37,0.684974,0.37,0.4220876,0.297,3.410789,0.741,0,0.741,0.08800017,,,,,0.74,6.856271,0.297,0.1351212,1.488,23.85322,
0.3,0.1025928,0.374,0.7710204,0.374,0.4762231,0.3,3.410854,0.747,0,0.747,0.08800017,,,,,0.747,6.850894,0.3,0.135096,1.501,23.85491,
0.302,0.08801878,0.377,0.8567536,0.377,0.512131,0.302,3.410831,0.754,0,0.754,0.08800017,,,,,0.753,6.84544,0.302,0.1355095,1.514,23.85709,
0.305,0.09581105,0.38,0.9641049,0.38,0.5940511,0.305,3.410919,0.76,0,0.76,0.08800017,,,,,0.76,6.840073,0.305,0.1357251,1.527,23.85908,
0.307,0.09196516,0.383,1.09387,0.383,0.6688922,0.307,3.410609,0.767,0,0.767,0.08800017,,,,,0.766,6.83417,0.307,0.135558,1.54,23.86179,
0.31,0.0904257,0.386,1.209798,0.386,0.7446615,0.31,3.410745,0.773,0,0.773,0.08800017,,,,,0.773,6.828504,0.31,0.1355795,1.552,23.86505,
0.313,0.1150407,0.39,1.355582,0.39,0.8321931,0.313,3.41057,0.779,0,0.779,0.08800017,,,,,0.779,6.822962,0.313,0.1359973,1.565,23.86793,
0.315,0.1144951,0.393,1.517619,0.393,0.9265434,0.315,3.410733,0.786,0,0.786,0.08800017,,,,,0.786,6.817846,0.315,0.1354546,1.578,23.87028,
0.318,0.1182282,0.396,1.667158,0.396,1.028147,0.318,3.410789,0.792,0,0.792,0.08800017,,,,,0.792,6.81324,0.318,0.1355045,1.591,23.87164,
0.32,0.1146121,0.399,1.895402,0.399,1.154621,0.32,3.410818,0.799,0,0.799,0.08800017,,,,,0.798,6.809203,0.32,0.1364387,1.604,23.87201,
0.323,0.1168482,0.402,2.101527,0.402,1.299278,0.323,3.410795,0.805,0,0.805,0.08800017,,,,,0.805,6.806146,0.323,0.1362381,1.617,23.87245,
0.325,0.1414395,0.406,2.3248,0.406,1.440352,0.325,3.410721,0.812,0,0.812,0.08800017,,,,,0.811,6.804296,0.325,0.1359863,1.63,23.87276,
0.328,0.1559721,0.409,2.614312,0.409,1.622012,0.328,3.410778,0.818,0,0.818,0.08800017,,,,,0.818,6.803166,0.328,0.135824,1.642,23.87403,
0.331,0.1683794,0.412,2.904471,0.412,1.799282,0.331,3.410735,0.825,0,0.825,0.08800017,,,,,0.824,6.803154,0.331,0.1364261,1.655,23.87509,
0.333,0.1745068,0.415,3.305707,0.415,2.008862,0.333,3.410589,0.831,0,0.831,0.08800017,,,,,0.831,6.804282,0.333,0.1365645,1.668,23.87589,
0.336,0.1937049,0.419,3.697866,0.419,2.237303,0.336,3.410427,0.837,0,0.837,0.08800017,,,,,0.837,6.805983,0.336,0.1364755,1.681,23.87765,
0.338,0.205171,0.422,4.215874,0.422,2.548014,0.338,3.410574,0.844,0,0.844,0.08800017,,,,,0.843,6.809157,0.338,0.1364977,1.694,23.87917,
0.341,0.2281778,0.425,4.739324,0.425,2.80679,0.341,3.410709,0.85,0,0.85,0.08800017,,,,,0.85,6.813065,0.341,0.1366228,1.707,23.88021,
0.343,0.2541255,0.428,5.333741,0.428,3.120979,0.343,3.410726,0.857,0,0.857,0.08800017,,,,,0.856,6.81776,0.343,0.1369806,1.72,23.88021,
0.346,0.2789306,0.431,6.011023,0.431,3.497727,0.346,3.410697,0.863,0,0.863,0.08800017,,,,,0.863,6.823183,0.346,0.1370974,1.732,23.88041,
0.349,0.3059348,0.435,6.841952,0.435,3.921265,0.349,3.410672,0.87,0,0.87,0.08800017,,,,,0.869,6.829257,0.349,0.1371438,1.745,23.88073,
0.351,0.3343947,0.438,7.708638,0.438,4.382906,0.351,3.410514,0.876,0,0.876,0.08800017,,,,,0.876,6.835912,0.351,0.1373483,1.758,23.88126,
