Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.174,0.03638834,0.218,0.08759388,0.218,0.03147263,0.174,3.420804,0.435,0,0.435,0.08800017,,,,,0.434,6.906419,0.871,24.20829,
0.176,0.02832341,0.222,0.08496375,0.222,0.02563879,0.176,3.420934,0.441,0,0.441,0.08800017,,,,,0.44,6.906496,0.884,24.21069,
0.179,0.0322368,0.225,0.0846443,0.225,0.02629287,0.179,3.420954,0.448,0,0.448,0.08800017,,,,,0.447,6.906617,0.897,24.21259,
0.181,0.03195991,0.228,0.07845382,0.228,0.02486751,0.181,3.421091,0.454,0,0.454,0.08800017,,,,,0.453,6.90656,0.91,24.2144,
0.184,0.03616623,0.231,0.08289067,0.231,0.03076283,0.184,3.420893,0.461,0,0.461,0.08800017,,,,,0.46,6.906501,0.923,24.21621,
0.187,0.04041408,0.234,0.06678884,0.234,0.02898362,0.187,3.420922,0.467,0,0.467,0.08800017,,,,,0.466,6.906504,0.936,24.21788,
0.189,0.03345361,0.238,0.06458825,0.238,0.01611845,0.189,3.421021,0.474,0,0.474,0.08800017,,,,,0.472,6.906533,0.948,24.21895,
0.192,0.03101192,0.241,0.07884718,0.241,0.02213444,0.192,3.4211,0.48,0,0.48,0.08800017,,,,,0.479,6.906565,0.961,24.21951,
0.194,0.03783752,0.244,0.08552041,0.244,0.02417837,0.194,3.420907,0.486,0,0.486,0.08800017,,,,,0.485,6.906581,0.974,24.21951,
0.197,0.03982344,0.247,0.07162473,0.247,0.01975085,0.197,3.421023,0.493,0,0.493,0.08800017,,,,,0.492,6.906554,0.987,24.21988,
0.199,0.04674634,0.25,0.07544216,0.25,0.02719184,0.199,3.421109,0.499,0,0.499,0.08800017,,,,,0.498,6.906609,1,24.21999,
0.202,0.03981848,0.254,0.08728445,0.254,0.02986066,0.202,3.421355,0.506,0,0.506,0.08800017,,,,,0.505,6.906591,1.013,24.22021,
0.205,0.04176034,0.257,0.08472124,0.257,0.03497961,0.205,3.421418,0.512,0,0.512,0.08800017,,,,,0.511,6.906541,1.026,24.22004,
0.207,0.0383626,0.26,0.08448537,0.26,0.02777882,0.207,3.421222,0.519,0,0.519,0.08800017,,,,,0.517,6.906559,1.038,24.22053,
0.21,0.04018512,0.263,0.05493145,0.263,0.02490134,0.21,3.421326,0.525,0,0.525,0.08800017,,,,,0.524,6.906524,1.051,24.22091,
0.212,0.03996368,0.267,0.07528221,0.267,0.02320046,0.212,3.421124,0.531,0,0.531,0.08800017,,,,,0.53,6.906539,1.064,24.22114,
0.215,0.03928244,0.27,0.08341621,0.27,0.02882574,0.215,3.421211,0.538,0,0.538,0.08800017,,,,,0.537,6.906511,1.077,24.22154,
0.217,0.02830086,0.273,0.06577211,0.273,0.03150694,0.217,3.421206,0.544,0,0.544,0.08800017,,,,,0.543,6.906529,1.09,24.22175,
0.22,0.04317829,0.276,0.07602971,0.276,0.03077795,0.22,3.421218,0.551,0,0.551,0.08800017,,,,,0.55,6.906445,1.103,24.22125,
0.223,0.03549082,0.279,0.07016964,0.279,0.03520766,0.223,3.42126,0.557,0,0.557,0.08800017,,,,,0.556,6.906409,1.116,24.22099,
0.225,0.02631458,0.283,0.0661016,0.283,0.01691017,0.225,3.421293,0.564,0,0.564,0.08800017,,,,,0.562,6.906292,1.128,24.22025,
0.228,0.02993943,0.286,0.06972654,0.286,0.03239757,0.228,3.421228,0.57,0,0.57,0.08800017,,,,,0.569,6.906191,1.141,24.21956,
0.23,0.03925284,0.289,0.08248334,0.289,0.02933732,0.23,3.421102,0.576,0,0.576,0.08800017,,,,,0.575,6.905914,1.154,24.21884,
0.233,0.02403663,0.292,0.09368138,0.292,0.04767279,0.233,3.421159,0.583,0,0.583,0.08800017,,,,,0.582,6.905793,1.167,24.2184,
0.235,0.03177537,0.295,0.09597497,0.295,0.04160577,0.235,3.421037,0.589,0,0.589,0.08800017,,,,,0.588,6.905448,1.18,24.21816,
