Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.164,0.02411011,0.205,-0.01406073,0.205,0.008214767,0.164,3.422406,0.41,0,0.41,0.08800017,,,,,0.405,6.910676,0.164,0.1186801,0.813,24.07657,
0.166,0.0231944,0.209,-0.01927891,0.209,0.00760367,0.166,3.422343,0.417,0,0.417,0.08800017,,,,,0.412,6.910653,0.166,0.1184807,0.825,24.07597,
0.169,0.02137524,0.212,-0.01875426,0.212,0.01744522,0.169,3.422481,0.423,0,0.423,0.08800017,,,,,0.418,6.910733,0.169,0.118865,0.838,24.0761,
0.172,0.01897853,0.215,-0.005368052,0.215,0.01372263,0.172,3.422546,0.43,0,0.43,0.08800017,,,,,0.424,6.910645,0.172,0.1186557,0.851,24.07665,
0.174,0.00390001,0.218,-0.009069966,0.218,0.01286415,0.174,3.422523,0.436,0,0.436,0.08800017,,,,,0.431,6.910613,0.174,0.1189763,0.864,24.07635,
0.177,0.02174061,0.221,-0.005439023,0.221,0.01836217,0.177,3.422629,0.443,0,0.443,0.08800017,,,,,0.437,6.910698,0.177,0.1189988,0.877,24.07542,
0.179,0.02608749,0.225,0.002034058,0.225,0.02231187,0.179,3.422745,0.449,0,0.449,0.08800017,,,,,0.444,6.910626,0.179,0.1192169,0.89,24.0751,
0.182,0.02740197,0.228,-0.008280635,0.228,0.01683131,0.182,3.422658,0.455,0,0.455,0.08800017,,,,,0.45,6.91063,0.182,0.1194485,0.903,24.07523,
0.184,0.02134826,0.231,0.001951938,0.231,0.01461496,0.184,3.422686,0.462,0,0.462,0.08800017,,,,,0.457,6.910699,0.184,0.1197259,0.915,24.0753,
0.187,0.02075135,0.234,-0.001245969,0.234,0.01417211,0.187,3.422701,0.468,0,0.468,0.08800017,,,,,0.463,6.910647,0.187,0.1197573,0.928,24.07568,
0.19,0.0204806,0.238,-0.01176143,0.238,0.009762026,0.19,3.422599,0.475,0,0.475,0.08800017,,,,,0.469,6.910771,0.19,0.119646,0.941,24.07617,
0.192,0.02024807,0.241,0.008008469,0.241,0.02142958,0.192,3.422704,0.481,0,0.481,0.08800017,,,,,0.476,6.910714,0.192,0.1196003,0.954,24.07574,
0.195,0.01872675,0.244,-0.01311666,0.244,0.03168997,0.195,3.422717,0.488,0,0.488,0.08800017,,,,,0.482,6.910734,0.195,0.1195151,0.967,24.07539,
0.197,0.01233121,0.247,-0.01868575,0.247,0.02451008,0.197,3.422551,0.494,0,0.494,0.08800017,,,,,0.489,6.910726,0.197,0.1204092,0.98,24.07489,
0.2,0.01891448,0.25,0.002584467,0.25,0.01969278,0.2,3.422487,0.5,0,0.5,0.08800017,,,,,0.495,6.910761,0.2,0.1203501,0.993,24.07441,
0.202,0.01483853,0.254,0.001692825,0.254,0.01427963,0.202,3.422611,0.507,0,0.507,0.08800017,,,,,0.502,6.910697,0.202,0.120593,1.005,24.07499,
0.205,0.01538436,0.257,-0.01700857,0.257,0.01437708,0.205,3.422694,0.513,0,0.513,0.08800017,,,,,0.508,6.910733,0.205,0.1206929,1.018,24.07518,
0.208,0.01989356,0.26,-0.007345808,0.26,0.01629595,0.208,3.422768,0.52,0,0.52,0.08800017,,,,,0.514,6.910715,0.208,0.1206112,1.031,24.07476,
0.21,0.03220353,0.263,0.002061052,0.263,0.01886033,0.21,3.42264,0.526,0,0.526,0.08800017,,,,,0.521,6.910771,0.21,0.1204387,1.044,24.074,
0.213,0.01715703,0.266,0.0005621692,0.266,0.00973204,0.213,3.422677,0.533,0,0.533,0.08800017,,,,,0.527,6.910763,0.213,0.120938,1.057,24.073,
0.215,0.02864353,0.27,-0.008691863,0.27,0.01875956,0.215,3.422739,0.539,0,0.539,0.08800017,,,,,0.534,6.910702,0.215,0.1212122,1.07,24.0726,
0.218,0.03110426,0.273,-0.01458291,0.273,0.01625489,0.218,3.422798,0.545,0,0.545,0.08800017,,,,,0.54,6.91069,0.218,0.1214324,1.083,24.07046,
0.22,0.0308755,0.276,-0.01491491,0.276,0.02056095,0.22,3.422882,0.552,0,0.552,0.08800017,,,,,0.547,6.910594,0.22,0.1212805,1.095,24.0679,
0.223,0.02255968,0.279,-0.01078822,0.279,0.00685606,0.223,3.422934,0.558,0,0.558,0.08800017,,,,,0.553,6.910485,0.223,0.1215721,1.108,24.06723,
0.226,0.01610383,0.283,0.002996326,0.283,0.008943945,0.226,3.422934,0.565,0,0.565,0.08800017,,,,,0.559,6.910556,0.226,0.1215196,1.121,24.06703,
0.228,0.0254538,0.286,-0.004552198,0.286,0.03160802,0.228,3.423061,0.571,0,0.571,0.08800017,,,,,0.566,6.910512,0.228,0.1222462,1.134,24.06733,
0.231,0.02395088,0.289,0.006599172,0.289,0.04673988,0.231,3.423065,0.578,0,0.578,0.08800017,,,,,0.572,6.910281,0.231,0.1221732,1.147,24.06762,
0.233,0.01935674,0.292,0.0209457,0.292,0.03636783,0.233,3.423136,0.584,0,0.584,0.08800017,,,,,0.579,6.910315,0.233,0.1219462,1.16,24.06733,
0.236,0.02139258,0.295,0.02738902,0.295,0.03680241,0.236,3.423033,0.59,0,0.59,0.08800017,,,,,0.585,6.9101,0.236,0.1222015,1.173,24.06752,
0.238,0.02024706,0.299,0.02865857,0.299,0.04994899,0.238,3.422907,0.597,0,0.597,0.08800017,,,,,0.591,6.909809,0.238,0.1228103,1.185,24.06761,
0.241,0.02022382,0.302,0.05164188,0.302,0.06235383,0.241,3.422744,0.603,0,0.603,0.08800017,,,,,0.598,6.909616,0.241,0.1217037,1.198,24.06812,
