Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.079,0.03803433,0.098,0.01973759,0.098,0.006580152,0.079,3.305027,0.195,0.08800017,,,,,0.195,6.828586,
0.079,0.03823607,0.099,0.02839245,0.099,0.01313108,0.079,3.305015,0.198,0.08800017,,,,,0.197,6.828705,
0.08,0.03041836,0.1,0.04043359,0.1,0.01666827,0.08,3.305149,0.2,0.08800017,,,,,0.2,6.828632,
0.081,0.02601126,0.101,0.05334052,0.101,0.02274466,0.081,3.30515,0.202,0.08800017,,,,,0.202,6.828612,
0.082,0.02327899,0.102,0.06587881,0.102,0.02039977,0.082,3.305187,0.204,0.08800017,,,,,0.204,6.828721,
0.083,0.02442967,0.104,0.06019247,0.104,0.02167024,0.083,3.305166,0.206,0.08800017,,,,,0.206,6.82867,
0.084,0.02638572,0.105,0.05448354,0.105,0.02550249,0.084,3.305195,0.208,0.08800017,,,,,0.208,6.828578,
0.085,0.02943311,0.106,0.04764069,0.106,0.02777912,0.085,3.30524,0.211,0.08800017,,,,,0.21,6.828674,
0.085,0.03419384,0.107,0.04416985,0.107,0.02294246,0.086,3.305197,0.213,0.08800017,,,,,0.213,6.828657,
0.086,0.03525481,0.108,0.04768297,0.108,0.02004123,0.086,3.305201,0.215,0.08800017,,,,,0.215,6.828617,
0.087,0.0346946,0.109,0.04462652,0.109,0.01694321,0.087,3.305206,0.217,0.08800017,,,,,0.217,6.828684,
0.088,0.03644506,0.11,0.0451426,0.11,0.02396466,0.088,3.305153,0.219,0.08800017,,,,,0.219,6.828675,
0.089,0.03880979,0.111,0.05072004,0.111,0.03028315,0.089,3.305175,0.221,0.08800017,,,,,0.221,6.828684,
0.09,0.03832554,0.112,0.05868544,0.112,0.02741035,0.09,3.305156,0.224,0.08800017,,,,,0.223,6.828659,
0.091,0.04007614,0.113,0.06782012,0.113,0.02966805,0.091,3.305214,0.226,0.08800017,,,,,0.226,6.828615,
0.092,0.04039275,0.114,0.06918908,0.114,0.03036838,0.092,3.305194,0.228,0.08800017,,,,,0.228,6.828574,
0.092,0.03788244,0.115,0.06852631,0.115,0.03501491,0.092,3.305159,0.23,0.08800017,,,,,0.23,6.828715,
