Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.28,-0.0001020602,0.349,0.3309796,0.349,0.2614274,0.28,3.418981,0.696,0,0.696,0.08800017,,,,,0.697,6.877359,0.28,0.1408538,1.398,24.22032,
0.283,0.001428934,0.352,0.4223458,0.352,0.3336338,0.283,3.418793,0.702,0,0.702,0.08800017,,,,,0.704,6.87219,0.283,0.1408789,1.411,24.22067,
0.285,0.0005118223,0.355,0.5229217,0.355,0.3987132,0.285,3.418909,0.709,0,0.709,0.08800017,,,,,0.71,6.866564,0.285,0.141093,1.424,24.22009,
0.288,9.71878E-05,0.358,0.6305283,0.358,0.4730607,0.288,3.418901,0.715,0,0.715,0.08800017,,,,,0.716,6.860348,0.288,0.1413754,1.437,24.2197,
0.291,0.01654674,0.362,0.7780319,0.362,0.5487014,0.291,3.418934,0.722,0,0.722,0.08800017,,,,,0.723,6.853632,0.291,0.1416093,1.45,24.21974,
0.293,0.01029609,0.365,0.9412527,0.365,0.651206,0.293,3.41893,0.728,0,0.728,0.08800017,,,,,0.729,6.846715,0.293,0.1418082,1.462,24.22053,
0.296,0.02056954,0.368,1.131695,0.368,0.7539799,0.296,3.418938,0.735,0,0.735,0.08800017,,,,,0.736,6.839781,0.296,0.1423621,1.475,24.22206,
0.298,0.02851205,0.371,1.350366,0.371,0.903444,0.298,3.418976,0.741,0,0.741,0.08800017,,,,,0.742,6.832912,0.298,0.1414943,1.488,24.22359,
0.301,0.03019919,0.374,1.620218,0.374,1.055781,0.301,3.419014,0.747,0,0.747,0.08800017,,,,,0.749,6.825669,0.301,0.1422238,1.501,24.22498,
0.303,0.02737633,0.378,1.934503,0.378,1.222538,0.303,3.418898,0.754,0,0.754,0.08800017,,,,,0.755,6.818017,0.303,0.1426016,1.514,24.22656,
0.306,0.0220508,0.381,2.269151,0.381,1.404422,0.306,3.418828,0.76,0,0.76,0.08800017,,,,,0.761,6.810205,0.306,0.1424481,1.527,24.22836,
0.309,0.02972373,0.384,2.679151,0.384,1.628144,0.309,3.418778,0.767,0,0.767,0.08800017,,,,,0.768,6.802788,0.309,0.1423072,1.54,24.22994,
0.311,0.04218819,0.387,3.147198,0.387,1.893958,0.311,3.418699,0.773,0,0.773,0.08800017,,,,,0.774,6.795675,0.311,0.1426533,1.552,24.23045,
0.314,0.05990037,0.39,3.695374,0.39,2.169657,0.314,3.418888,0.78,0,0.78,0.08800017,,,,,0.781,6.78919,0.314,0.1424373,1.565,24.23022,
0.316,0.07944913,0.394,4.319069,0.394,2.488415,0.316,3.418776,0.786,0,0.786,0.08800017,,,,,0.787,6.783152,0.316,0.1426994,1.578,24.22974,
0.319,0.09927783,0.397,5.03633,0.397,2.871622,0.319,3.418652,0.792,0,0.792,0.08800017,,,,,0.794,6.77758,0.319,0.1433212,1.591,24.22914,
0.321,0.1200117,0.4,5.873613,0.4,3.283598,0.321,3.418666,0.799,0,0.799,0.08800017,,,,,0.8,6.773483,0.321,0.1431074,1.604,24.22853,
