Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
0.733,0.05378023,3.618,2257.554,3.618,925.112,1.471,17.38154,7.255,0,7.255,6.968489,7.253,0.5958849,7.25,0.3171889,,,,,7.238,7.088334,0.733,0.7479194,
0.748,0.05979976,3.693,2260.474,3.693,927.1829,1.501,17.12312,7.406,0,7.406,12.22022,7.403,0.4357143,7.4,0.2288098,,,,,7.388,7.088865,0.748,0.7484913,
0.763,0.06578241,3.768,2263.018,3.768,929.2626,1.531,16.86275,7.556,0,7.556,14.8424,7.553,0.252048,7.55,0.1348181,,,,,7.539,7.089629,0.763,0.7498327,
0.778,0.07178139,3.843,2265.675,3.843,931.5866,1.561,16.61021,7.707,0,7.707,16.00003,7.704,0.3690011,7.701,0.2258517,,,,,7.689,7.090622,0.778,0.751076,
0.793,0.07783136,3.918,2268.375,3.918,934.0047,1.591,16.3611,7.857,0,7.857,16.00003,7.854,0.6043199,7.851,0.3322736,,,,,7.839,7.090576,0.793,0.7520279,
0.808,0.08388446,3.993,2271.81,3.993,936.6844,1.621,16.1329,8.008,0,8.008,16.00003,8.005,0.6449624,8.002,0.3411036,,,,,7.99,7.09015,0.808,0.7527616,
0.823,0.08993928,4.068,2275.401,4.068,939.5286,1.651,15.91347,8.158,0,8.158,16.00003,8.155,0.6677403,8.152,0.3436002,,,,,8.14,7.089619,0.823,0.7532657,
0.838,0.09604107,4.143,2279.521,4.143,943.0685,1.681,15.71276,8.308,0,8.308,16.00003,8.305,0.6579468,8.302,0.3335051,,,,,8.29,7.088614,0.838,0.7535186,
0.853,0.1021609,4.219,2284.07,4.219,947.6097,1.711,15.52915,8.459,0,8.459,16.00003,8.456,0.6485373,8.453,0.3265291,,,,,8.441,7.085629,0.853,0.7536688,
0.868,0.1082035,4.294,2289.25,4.294,953.6181,1.741,15.3596,8.609,0,8.609,16.00003,8.606,0.6396839,8.603,0.3219597,,,,,8.591,7.082912,0.868,0.7544433,
0.883,0.1185069,4.369,2296.169,4.369,960.8378,1.771,15.21225,8.76,0,8.76,16.00003,8.757,0.6329235,8.754,0.3198805,,,,,8.741,7.080562,0.883,0.7552723,
0.898,0.151742,4.444,2304.084,4.444,968.7512,1.801,15.07155,8.91,0,8.91,16.00003,8.907,0.6273409,8.904,0.3184547,,,,,8.891,7.086117,0.898,0.7561999,
0.913,0.2096203,4.519,2313.841,4.519,978.2374,1.831,14.95805,9.061,0,9.061,16.00003,9.057,0.6202636,9.054,0.3175323,,,,,9.042,7.095909,0.913,0.7573354,
0.928,0.3055103,4.594,2323.986,4.594,988.1918,1.861,14.84955,9.211,0,9.211,16.00003,9.208,0.6134481,9.205,0.316656,,,,,9.192,7.112189,0.928,0.7587918,
0.943,0.4017256,4.669,2335.005,4.669,1000.257,1.891,14.75793,9.361,0,9.361,16.00003,9.358,0.6109585,9.355,0.3159139,,,,,9.342,7.129075,0.943,0.7614591,
0.959,0.4981611,4.744,2346.442,4.744,1012.953,1.921,14.67505,9.512,0,9.512,16.00003,9.509,0.6080732,9.506,0.3153067,,,,,9.493,7.143789,0.959,0.7648729,
0.974,0.5935247,4.819,2358.768,4.819,1026.992,1.951,14.60247,9.662,0,9.662,16.00003,9.659,0.6043878,9.656,0.3148421,,,,,9.643,7.156705,0.974,0.7664658,
0.989,0.6887248,4.895,2371.833,4.895,1040.702,1.981,14.54003,9.813,0,9.813,16.00003,9.81,0.6032264,9.806,0.3143464,,,,,9.793,7.166134,0.989,0.7676752,
1.004,0.7841814,4.97,2385.502,4.97,1054.145,2.011,14.48231,9.963,0,9.963,16.00003,9.96,0.6040302,9.957,0.3138384,,,,,9.944,7.173381,1.004,0.7678618,
1.019,0.8792248,5.045,2398.103,5.045,1067.58,2.041,14.43571,10.114,0,10.114,16.00003,10.11,0.6023053,10.107,0.3136804,,,,,10.094,7.178976,1.019,0.7680849,
1.034,0.9733621,5.12,2410.386,5.12,1081.016,2.071,14.39144,10.264,0,10.264,16.00003,10.261,0.5999792,10.258,0.3133432,,,,,10.244,7.182714,1.034,0.7683913,
1.049,1.067954,5.195,2421.545,5.195,1095.05,2.101,14.35504,10.415,0,10.415,16.00003,10.411,0.6002738,10.408,0.3120867,,,,,10.395,7.185943,1.049,0.7686974,
1.064,1.162969,5.27,2432.82,5.27,1108.79,2.131,14.32138,10.565,0,10.565,16.00003,10.562,0.6003359,10.558,0.3117806,,,,,10.545,7.187744,1.064,0.7690035,
1.079,1.715708,5.345,2444.479,5.345,1121.566,2.161,14.29244,10.715,0,10.715,16.00003,10.712,0.5997117,10.709,0.3128552,,,,,10.695,7.18934,1.079,0.7695661,
1.094,2.41039,5.42,2455.596,5.42,1133.871,2.191,14.26677,10.866,0,10.866,16.00003,10.862,0.5988393,10.859,0.3129511,,,,,10.846,7.190347,1.094,0.7702081,
1.109,5.496617,5.496,2466.089,5.496,1145.634,2.221,14.24335,11.016,0,11.016,16.00003,11.013,0.5977023,11.01,0.312493,,,,,10.996,7.191119,1.109,0.7706103,
1.124,8.633286,5.571,2475.75,5.571,1157.778,2.251,14.22376,11.167,0,11.167,16.00003,11.163,0.597981,11.16,0.3123189,,,,,11.146,7.191644,1.124,0.7712008,
1.139,11.74683,5.646,2485.033,5.646,1170.094,2.281,14.20515,11.317,0,11.317,16.00003,11.314,0.5988259,11.31,0.3121403,,,,,11.297,7.192106,1.139,0.7724962,
1.154,14.86981,5.721,2494.408,5.721,1181.614,2.311,14.18985,11.468,0,11.468,16.00003,11.464,0.5975515,11.461,0.3115316,,,,,11.447,7.192544,1.154,0.7732357,
1.169,18.00397,5.796,2503.729,5.796,1192.797,2.341,14.17532,11.618,0,11.618,16.00003,11.615,0.5968518,11.611,0.3109737,,,,,11.597,7.192667,1.169,0.7732629,
1.184,21.10801,5.871,2512.701,5.871,1202.442,2.371,14.16282,11.768,0,11.768,16.00003,11.765,0.5994392,11.761,0.3105192,,,,,11.748,7.192793,1.184,0.7737011,
1.199,24.19777,5.946,2520.934,5.946,1211.857,2.402,14.15131,11.919,0,11.919,16.00003,11.915,0.5998365,11.912,0.3105891,,,,,11.898,7.193018,1.199,0.7743397,
1.214,27.32646,6.021,2527.95,6.021,1220.893,2.432,14.14081,12.069,0,12.069,16.00003,12.066,0.5970391,12.062,0.3110707,,,,,12.048,7.193234,1.214,0.7749515,
1.229,30.45661,6.096,2534.551,6.096,1229.454,2.462,14.13159,12.22,0,12.22,16.00003,12.216,0.5972774,12.213,0.3108319,,,,,12.199,7.193437,1.229,0.775655,
