Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.157,-0.02124896,0.195,-0.03704727,0.157,3.321351,0.389,0,0.389,0.08800017,,,,,0.389,6.834629,
0.159,-0.01345932,0.197,-0.03142091,0.159,3.321329,0.394,0,0.394,0.08800017,,,,,0.394,6.834647,
0.161,-0.01980504,0.2,-0.03219683,0.161,3.321266,0.399,0,0.399,0.08800017,,,,,0.4,6.834628,
0.163,-0.0279739,0.202,-0.02520338,0.163,3.321342,0.405,0,0.405,0.08800017,,,,,0.405,6.834628,
0.165,-0.03060066,0.205,-0.01900111,0.165,3.321443,0.41,0,0.41,0.08800017,,,,,0.41,6.83468,
0.167,-0.03393125,0.208,-0.02554943,0.167,3.321531,0.415,0,0.415,0.08800017,,,,,0.415,6.834663,
0.169,-0.02864887,0.21,-0.02567254,0.169,3.321558,0.42,0,0.42,0.08800017,,,,,0.42,6.834628,
0.171,-0.03852056,0.213,-0.0266829,0.171,3.321441,0.425,0,0.425,0.08800017,,,,,0.425,6.834568,
0.173,-0.02740685,0.215,-0.03917608,0.173,3.321454,0.43,0,0.43,0.08800017,,,,,0.43,6.834492,
0.175,-0.02029568,0.218,-0.03557004,0.175,3.321476,0.435,0,0.435,0.08800017,,,,,0.435,6.834771,
0.177,-0.02338026,0.22,-0.03437188,0.177,3.321388,0.44,0,0.44,0.08800017,,,,,0.44,6.834673,
0.179,-0.01932962,0.223,-0.02334577,0.179,3.321505,0.446,0,0.446,0.08800017,,,,,0.446,6.834669,
0.181,-0.01661876,0.225,-0.01240522,0.181,3.321518,0.451,0,0.451,0.08800017,,,,,0.451,6.834662,
0.183,-0.0204805,0.228,-0.01523306,0.183,3.321494,0.456,0,0.456,0.08800017,,,,,0.456,6.834622,
0.185,-0.02451115,0.231,-0.02303853,0.185,3.321379,0.461,0,0.461,0.08800017,,,,,0.461,6.834694,
0.187,-0.02956356,0.233,-0.04126664,0.187,3.321214,0.466,0,0.466,0.08800017,,,,,0.466,6.8347,
0.19,-0.03861252,0.236,-0.0368057,0.19,3.321272,0.471,0,0.471,0.08800017,,,,,0.471,6.834604,
0.192,-0.0425223,0.238,-0.03731868,0.192,3.321256,0.476,0,0.476,0.08800017,,,,,0.476,6.834559,
0.194,-0.03788807,0.241,-0.03377005,0.194,3.321242,0.481,0,0.481,0.08800017,,,,,0.481,6.834495,
0.196,-0.03486903,0.243,-0.005889655,0.196,3.321202,0.486,0,0.486,0.08800017,,,,,0.487,6.834443,
0.198,-0.03442742,0.246,0.008803381,0.198,3.321314,0.492,0,0.492,0.08800017,,,,,0.492,6.834347,
0.2,-0.02841116,0.248,0.007793761,0.2,3.321346,0.497,0,0.497,0.08800017,,,,,0.497,6.834077,
0.202,-0.01494912,0.251,0.01255492,0.202,3.321208,0.502,0,0.502,0.08800017,,,,,0.502,6.833935,
0.204,-0.0111931,0.254,0.01887681,0.204,3.321305,0.507,0,0.507,0.08800017,,,,,0.507,6.833766,
0.206,-0.01437526,0.256,0.05004375,0.206,3.321275,0.512,0,0.512,0.08800017,,,,,0.512,6.833333,
0.208,-0.02320006,0.259,0.07387756,0.208,3.321297,0.517,0,0.517,0.08800017,,,,,0.517,6.83285,
0.21,-0.01812783,0.261,0.09336567,0.21,3.321332,0.522,0,0.522,0.08800017,,,,,0.522,6.832222,
0.212,-0.01896021,0.264,0.1407146,0.212,3.321325,0.527,0,0.527,0.08800017,,,,,0.527,6.831551,
0.214,-0.01916104,0.266,0.179199,0.214,3.321202,0.533,0,0.533,0.08800017,,,,,0.533,6.83075,
0.216,-0.01486851,0.269,0.2264362,0.216,3.321395,0.538,0,0.538,0.08800017,,,,,0.538,6.829812,
0.218,-0.02411129,0.271,0.3037196,0.218,3.321497,0.543,0,0.543,0.08800017,,,,,0.543,6.82865,
0.22,-0.02906145,0.274,0.3764353,0.22,3.321355,0.548,0,0.548,0.08800017,,,,,0.548,6.827029,
0.222,-0.01961644,0.277,0.4647232,0.222,3.321377,0.553,0,0.553,0.08800017,,,,,0.553,6.825279,
0.224,-0.01030458,0.279,0.5538254,0.224,3.321409,0.558,0,0.558,0.08800017,,,,,0.558,6.823113,
0.226,-0.0189641,0.282,0.6732473,0.226,3.321406,0.563,0,0.563,0.08800017,,,,,0.563,6.820634,
0.228,-0.0316864,0.284,0.8163995,0.228,3.321291,0.568,0,0.568,0.08800017,,,,,0.568,6.81772,
0.23,-0.03524431,0.287,0.9704304,0.23,3.321527,0.573,0,0.573,0.08800017,,,,,0.574,6.814483,
0.232,-0.03755045,0.289,1.169787,0.232,3.321381,0.579,0,0.579,0.08800017,,,,,0.579,6.810588,
0.235,-0.02407289,0.292,1.370363,0.235,3.32155,0.584,0,0.584,0.08800017,,,,,0.584,6.806349,
0.237,-0.02248867,0.295,1.599955,0.237,3.321482,0.589,0,0.589,0.08800017,,,,,0.589,6.801689,
0.239,-0.02200454,0.297,1.855536,0.239,3.321542,0.594,0,0.594,0.08800017,,,,,0.594,6.796458,
0.241,-0.007312696,0.3,2.150764,0.241,3.321308,0.599,0,0.599,0.08800017,,,,,0.599,6.790653,
0.243,-0.0005233245,0.302,2.482911,0.243,3.321348,0.604,0,0.604,0.08800017,,,,,0.604,6.784315,
0.245,0.008260623,0.305,2.871152,0.245,3.321393,0.609,0,0.609,0.08800017,,,,,0.609,6.77779,
0.247,0.01299404,0.307,3.271915,0.247,3.321413,0.614,0,0.614,0.08800017,,,,,0.614,6.770726,
0.249,0.0349787,0.31,3.757167,0.249,3.321478,0.62,0,0.62,0.08800017,,,,,0.62,6.764074,
0.251,0.06176189,0.312,4.221669,0.251,3.32145,0.625,0,0.625,0.08800017,,,,,0.625,6.756331,
0.253,0.07542685,0.315,4.736989,0.253,3.321325,0.63,0,0.63,0.08800017,,,,,0.63,6.748257,
0.255,0.1065632,0.318,5.304974,0.255,3.321298,0.635,0,0.635,0.08800017,,,,,0.635,6.739939,
0.257,0.1583766,0.32,5.928136,0.257,3.321163,0.64,0,0.64,0.08800017,,,,,0.64,6.731339,
0.259,0.2096853,0.323,6.564422,0.259,3.321008,0.645,0,0.645,0.08800017,,,,,0.645,6.722707,
0.261,0.272438,0.325,7.271937,0.261,3.321101,0.65,0,0.65,0.08800017,,,,,0.65,6.713876,
